PLAZACABLE,Support,1623,1.0,55.33,27.99,1.41,13.79,,2.68
MHLXMIRU,Support,1625,1.0,222.59,64.67,9.7,37.78,37.78,2.79
AMJLAND,Support,1627,1.0,57.23,55.4,7.9,67.24,67.24,2.59
CORDSCABLE,Support,1628,1.0,180.06,138.19,-5.21,18.55,87.56,3.33
RANASUG,Support,1630,1.0,14.66,35.61,5.18,-24.15,87.04,3.0
BASML,Support,1631,1.0,27.58,64.0,-2.47,-35.97,27.35,3.48
GULFPETRO,Support,1636,1.0,41.35,64.53,2.59,25.03,25.03,2.51
MARALOVER,Support,1634,1.0,51.51,28.41,-8.13,-18.42,83.98,5.76
NECCLTD,Support,1638,1.0,20.85,22.4,1.06,12.18,36.96,3.56
ASPINWALL,Support,1635,1.0,272.7,246.38,3.81,17.97,50.5,2.04
ARCHIDPLY,Support,1639,1.0,104.23,52.01,6.08,23.73,88.49,3.85
EMMBI,Support,1640,1.0,106.03,104.16,0.41,17.43,62.27,1.94
TAINWALCHM,Support,1645,1.0,213.29,164.34,3.89,71.87,85.42,2.44
DTIL,Support,1644,1.0,190.16,494.9,3.23,12.36,68.45,2.47
ALPA,Support,1646,1.0,94.88,76.66,4.76,26.33,88.41,2.04
TIPSFILMS,Support,1648,1.0,457.45,105.07,7.22,8.19,8.19,2.69
VISHWARAJ,Support,1657,1.0,8.5,12.09,-7.29,8.0,,4.24
ANIKINDS,Support,1642,1.0,72.94,135.24,-39.22,42.97,92.94,7.9
SONAMLTD,Support,1656,1.0,46.46,15.6,5.29,63.95,,3.89
DCM,Support,1654,1.0,99.72,22.83,7.17,33.11,87.41,2.39
AVROIND,Support,1659,1.0,137.38,62.72,-2.27,27.21,,5.46
INDTERRAIN,Support,1660,1.0,35.52,40.44,3.55,16.53,34.83,4.24
USK,Support,1664,1.0,31.51,30.43,-8.89,,,3.23
IVP,Support,1666,1.0,167.21,134.93,-1.64,15.73,84.75,3.72
WEIZMANIND,Support,1672,1.0,109.27,39.26,-3.87,21.75,21.75,2.89
HINDCON,Support,1676,1.0,32.35,10.55,6.89,52.64,70.57,3.49
SOMICONVEY,Support,1677,1.0,140.32,64.76,-6.9,10.81,79.97,4.45
INDIANCARD,Support,1679,1.0,275.0,569.35,-1.24,20.91,71.27,4.43
VAISHALI,Support,1681,1.0,12.11,4.79,9.91,14.95,,3.19
COMPUSOFT,Support,1682,1.0,19.93,18.18,-0.4,26.49,84.19,2.93
GANGESSECU,Support,1690,1.0,153.6,676.01,2.59,18.62,87.34,4.18
LAGNAM,Support,1687,1.0,87.55,68.41,-6.23,53.74,53.74,6.08
SMLT,Support,1694,1.0,107.96,88.02,8.44,9.69,,6.21
INDBANK,Support,1693,1.0,33.37,20.94,3.66,39.62,86.96,2.61
MAHAPEXLTD,Support,1696,1.0,104.31,330.61,6.23,6.23,34.81,3.49
LAMBODHARA,Support,1698,1.0,136.74,114.56,5.12,27.12,51.62,8.31
SADBHIN,Support,1700,1.0,4.0,-15.47,-0.5,28.75,28.75,6.36
KEYFINSERV,Support,1703,1.0,246.75,248.54,-2.27,31.06,68.51,3.9
JOCIL,Support,1699,1.0,158.72,231.5,5.15,16.58,55.3,4.18
BALPHARMA,Support,1705,1.0,84.34,39.09,7.45,7.45,24.89,5.68
